,Result,Category
39227,White Win,10
39228,White Win,10
39229,Black Win,0
39230,White Win,15
39231,White Win,13
39232,White Win,6
39233,White Win,8
39234,Black Win,10
39235,Black Win,9
39236,White Win,10
39237,Black Win,12
39238,White Win,15
39239,White Win,13
39240,White Win,15
39241,White Win,18
39242,White Win,14
39243,Black Win,10
39244,White Win,9
39245,Draw,11
39246,Black Win,12
39247,White Win,9
39248,White Win,6
39249,White Win,12
39250,Black Win,7
39251,Black Win,10
39252,Black Win,10
39253,Draw,8
39254,Black Win,10
39255,Black Win,8
39256,White Win,20
39257,White Win,12
39258,Draw,10
39259,Black Win,7
39260,Black Win,7
39261,White Win,10
39262,White Win,12
39263,Black Win,7
39264,White Win,10
39265,White Win,14
39266,Black Win,11
39267,White Win,17
39268,White Win,13
39269,White Win,13
39270,White Win,6
39271,Black Win,0
39272,White Win,9
39273,White Win,13
39274,White Win,6
39275,White Win,11
39276,Black Win,7
39277,White Win,11
39278,Black Win,6
39279,White Win,11
39280,White Win,7
39281,Black Win,7
39282,White Win,8
39283,White Win,11
39284,Black Win,7
39285,White Win,9
39286,Draw,9
39287,Black Win,8
39288,Black Win,11
39289,White Win,8
39290,Black Win,8
39291,Black Win,13
39292,Black Win,9
39293,White Win,19
39294,White Win,10
39295,White Win,17
39296,White Win,9
39297,Black Win,6
39298,White Win,12
39299,Black Win,8
39300,White Win,10
39301,Black Win,2
39302,White Win,9
39303,Black Win,11
39304,White Win,18
39305,Black Win,8
39306,White Win,14
39307,Black Win,7
39308,Black Win,9
39309,White Win,7
39310,White Win,10
39311,Black Win,11
39312,White Win,7
39313,Draw,13
39314,Draw,7
39315,White Win,10
39316,Black Win,6
39317,White Win,12
39318,White Win,15
39319,Black Win,13
39320,White Win,8
39321,White Win,12
39322,White Win,8
39323,Black Win,7
39324,Black Win,3
39325,Black Win,5
39326,White Win,10
39327,White Win,10
39328,White Win,10
39329,Black Win,13
39330,Draw,12
39331,Black Win,15
39332,Black Win,11
39333,Black Win,7
39334,White Win,13
39335,White Win,8
39336,White Win,14
39337,Black Win,6
39338,White Win,11
39339,Black Win,8
39340,Black Win,11
39341,White Win,9
39342,White Win,10
39343,Draw,11
39344,White Win,9
39345,White Win,6
39346,White Win,12
39347,White Win,13
39348,Black Win,14
39349,Black Win,13
39350,White Win,9
39351,White Win,8
39352,Black Win,2
39353,White Win,13
39354,Black Win,9
39355,White Win,11
39356,Black Win,11
39357,Black Win,0
39358,White Win,5
39359,Black Win,7
39360,White Win,12
39361,Black Win,8
39362,White Win,12
39363,Black Win,8
39364,Draw,16
39365,White Win,14
39366,Draw,13
39367,White Win,11
39368,Black Win,5
39369,Black Win,9
39370,Draw,11
39371,White Win,9
39372,White Win,9
39373,White Win,7
39374,Black Win,8
39375,Black Win,8
39376,Black Win,11
39377,Black Win,12
39378,Black Win,9
39379,White Win,9
39380,Black Win,16
39381,White Win,13
39382,Black Win,8
39383,Black Win,9
39384,Black Win,1
39385,White Win,10
39386,White Win,8
39387,Black Win,8
39388,Black Win,5
39389,White Win,12
39390,Black Win,10
39391,White Win,8
39392,Black Win,11
39393,White Win,12
39394,Black Win,11
39395,White Win,9
39396,White Win,11
39397,White Win,7
39398,White Win,13
39399,Draw,13
39400,Black Win,3
39401,White Win,11
39402,White Win,10
39403,White Win,13
39404,Black Win,9
39405,Black Win,6
39406,Black Win,6
39407,White Win,9
39408,Black Win,0
39409,White Win,11
39410,Black Win,10
39411,Black Win,10
39412,White Win,12
39413,White Win,10
39414,Black Win,11
39415,White Win,7
39416,White Win,9
39417,White Win,14
39418,White Win,10
39419,White Win,7
39420,Black Win,7
39421,Black Win,10
39422,Draw,8
39423,White Win,7
39424,Black Win,10
39425,White Win,12
39426,White Win,16
39427,Black Win,9
39428,Black Win,11
39429,Black Win,0
39430,White Win,7
39431,White Win,11
39432,White Win,7
39433,Black Win,15
39434,Black Win,10
39435,White Win,12
39436,Black Win,7
39437,White Win,11
39438,Black Win,6
39439,White Win,12
39440,Draw,6
39441,White Win,9
39442,White Win,9
39443,Black Win,12
39444,White Win,12
39445,Black Win,7
39446,Black Win,12
39447,White Win,11
39448,White Win,19
39449,White Win,11
39450,White Win,9
39451,Black Win,8
39452,White Win,12
39453,Black Win,7
39454,White Win,18
39455,Draw,9
39456,Draw,12
39457,Black Win,9
39458,White Win,8
39459,Black Win,8
39460,White Win,19
39461,White Win,9
39462,Black Win,13
39463,White Win,19
39464,Black Win,8
39465,White Win,12
39466,White Win,9
39467,White Win,12
39468,White Win,8
39469,Draw,7
39470,Black Win,7
39471,White Win,10
39472,Black Win,4
39473,White Win,13
39474,Black Win,4
39475,White Win,9
39476,Black Win,8
39477,White Win,20
39478,Draw,12
39479,White Win,16
39480,White Win,13
39481,Black Win,7
39482,Black Win,5
39483,Black Win,5
39484,White Win,8
39485,White Win,8
39486,Black Win,7
39487,White Win,10
39488,Black Win,7
39489,Black Win,2
39490,Black Win,6
39491,White Win,12
39492,White Win,13
39493,Black Win,11
39494,White Win,16
39495,Black Win,5
39496,White Win,11
39497,Black Win,10
39498,White Win,9
39499,Black Win,4
39500,Black Win,8
39501,White Win,5
39502,White Win,10
39503,Black Win,8
39504,White Win,6
39505,White Win,13
39506,Black Win,3
39507,Black Win,6
39508,Black Win,9
39509,White Win,10
39510,Black Win,11
39511,White Win,14
39512,White Win,10
39513,Black Win,11
39514,Black Win,9
39515,White Win,13
39516,Black Win,8
39517,White Win,10
39518,White Win,7
39519,White Win,9
39520,White Win,9
39521,Black Win,13
39522,Black Win,10
39523,Black Win,0
39524,White Win,10
39525,Black Win,6
39526,Black Win,9
39527,White Win,9
39528,White Win,7
39529,White Win,11
39530,Black Win,9
39531,White Win,10
39532,White Win,12
39533,White Win,13
39534,White Win,7
39535,White Win,20
39536,Black Win,7
39537,Black Win,6
39538,White Win,8
39539,White Win,9
39540,White Win,8
39541,Black Win,2
39542,White Win,12
39543,Black Win,8
39544,Draw,11
39545,Black Win,7
39546,Draw,6
39547,White Win,20
39548,White Win,11
39549,Black Win,6
39550,White Win,13
39551,White Win,12
39552,Black Win,8
39553,Black Win,10
39554,White Win,10
39555,Black Win,10
39556,Black Win,10
39557,White Win,8
39558,White Win,12
39559,White Win,11
39560,Black Win,7
39561,Black Win,6
39562,Black Win,6
39563,White Win,8
39564,White Win,11
39565,White Win,12
39566,Black Win,4
39567,White Win,3
39568,White Win,12
39569,Black Win,7
39570,Black Win,9
39571,White Win,17
39572,White Win,14
39573,White Win,9
39574,White Win,12
39575,Black Win,11
39576,Black Win,7
39577,Black Win,4
39578,White Win,9
39579,Black Win,2
39580,Black Win,7
39581,Black Win,11
39582,Black Win,13
39583,White Win,9
39584,White Win,14
39585,White Win,9
39586,Black Win,12
39587,Black Win,7
39588,White Win,13
39589,Black Win,4
39590,Black Win,8
39591,Black Win,5
39592,Black Win,7
39593,White Win,10
39594,Black Win,13
39595,White Win,7
39596,Black Win,6
39597,Black Win,2
39598,Black Win,11
39599,Black Win,1
39600,Black Win,10
39601,Black Win,9
39602,White Win,12
39603,White Win,12
39604,Black Win,9
39605,White Win,10
39606,White Win,10
39607,White Win,7
39608,White Win,20
39609,White Win,10
39610,White Win,8
39611,Black Win,8
39612,Black Win,4
39613,Draw,6
39614,Black Win,9
39615,Black Win,1
39616,White Win,15
39617,Black Win,6
39618,Draw,13
39619,White Win,10
39620,Black Win,12
39621,Black Win,10
39622,White Win,11
39623,White Win,12
39624,Black Win,14
39625,White Win,15
39626,Black Win,12
39627,White Win,10
39628,White Win,12
39629,White Win,14
39630,Black Win,7
39631,White Win,7
39632,White Win,9
39633,Black Win,6
39634,White Win,9
39635,White Win,9
39636,Black Win,10
39637,Black Win,8
39638,White Win,9
39639,Black Win,6
39640,White Win,13
39641,White Win,8
39642,White Win,6
39643,Black Win,10
39644,White Win,8
39645,White Win,7
39646,Black Win,10
39647,White Win,9
39648,White Win,15
39649,White Win,17
39650,Black Win,10
39651,Black Win,15
39652,White Win,11
39653,Black Win,11
39654,White Win,9
39655,White Win,13
39656,Black Win,7
39657,White Win,11
39658,Black Win,11
39659,Black Win,11
39660,White Win,13
39661,White Win,18
39662,Black Win,10
39663,Black Win,9
39664,Black Win,14
39665,Black Win,10
39666,White Win,8
39667,Black Win,10
39668,Black Win,10
39669,White Win,8
39670,White Win,6
39671,Black Win,7
39672,Black Win,13
39673,White Win,8
39674,Black Win,12
39675,White Win,14
39676,Black Win,7
39677,White Win,9
39678,Black Win,1
39679,White Win,7
39680,White Win,11
39681,Black Win,9
39682,White Win,6
39683,Black Win,12
39684,White Win,11
39685,Black Win,9
39686,White Win,7
39687,White Win,15
39688,Black Win,2
39689,White Win,9
39690,White Win,13
39691,Black Win,9
39692,White Win,9
39693,Black Win,11
39694,White Win,11
39695,White Win,4
39696,White Win,9
39697,White Win,8
39698,Black Win,6
39699,White Win,12
39700,Black Win,8
39701,White Win,9
39702,White Win,6
39703,White Win,11
39704,White Win,16
39705,White Win,11
39706,Black Win,5
39707,Black Win,13
39708,Black Win,3
39709,White Win,16
39710,Black Win,9
39711,White Win,13
39712,Draw,9
39713,White Win,13
39714,White Win,20
39715,White Win,13
39716,Black Win,11
39717,White Win,9
39718,White Win,10
39719,White Win,10
39720,White Win,9
39721,Draw,7
39722,White Win,10
39723,White Win,12
39724,White Win,11
39725,Black Win,5
39726,Black Win,12
39727,White Win,8
39728,White Win,13
39729,White Win,9
39730,White Win,18
39731,Black Win,11
39732,White Win,9
39733,White Win,15
39734,White Win,10
39735,Black Win,8
39736,Black Win,9
39737,White Win,5
39738,Black Win,7
39739,Black Win,9
39740,White Win,7
39741,White Win,11
39742,Black Win,8
39743,White Win,18
39744,White Win,9
39745,White Win,8
39746,Black Win,4
39747,Black Win,12
39748,White Win,14
39749,White Win,12
39750,White Win,18
39751,White Win,10
39752,White Win,8
39753,White Win,9
39754,White Win,11
39755,White Win,12
39756,White Win,12
39757,Black Win,8
39758,Black Win,3
39759,White Win,11
39760,Black Win,14
39761,Black Win,9
39762,White Win,19
39763,White Win,6
39764,Black Win,9
39765,Black Win,4
39766,Black Win,1
39767,Black Win,8
39768,Black Win,9
39769,White Win,10
39770,White Win,11
39771,White Win,11
39772,Black Win,10
39773,Black Win,9
39774,White Win,9
39775,Black Win,11
39776,White Win,10
39777,Draw,10
39778,White Win,16
39779,White Win,9
39780,White Win,13
39781,White Win,7
39782,White Win,10
39783,Black Win,9
39784,Black Win,11
39785,Black Win,0
39786,Black Win,5
39787,Black Win,7
39788,Black Win,9
39789,Black Win,5
39790,White Win,18
39791,White Win,9
39792,White Win,12
39793,White Win,15
39794,White Win,10
39795,Black Win,10
39796,Black Win,3
39797,Black Win,13
39798,Black Win,10
39799,Black Win,16
39800,Black Win,6
39801,Black Win,1
39802,Black Win,6
39803,White Win,14
39804,Black Win,8
39805,Black Win,12
39806,White Win,19
39807,Black Win,12
39808,White Win,7
39809,White Win,7
39810,White Win,7
39811,Black Win,8
39812,Black Win,8
39813,White Win,7
39814,White Win,7
39815,White Win,15
39816,Draw,9
39817,White Win,10
39818,Black Win,10
39819,White Win,1
39820,White Win,11
39821,Black Win,11
39822,White Win,10
39823,White Win,8
39824,White Win,1
39825,White Win,10
39826,Black Win,12
39827,White Win,10
39828,White Win,9
39829,Black Win,11
39830,White Win,14
39831,White Win,10
39832,White Win,6
39833,White Win,18
39834,Black Win,10
39835,Black Win,6
39836,Black Win,12
39837,Black Win,10
39838,White Win,9
39839,Black Win,9
39840,White Win,10
39841,Black Win,5
39842,White Win,12
39843,White Win,13
39844,Black Win,5
39845,White Win,8
39846,White Win,12
39847,Black Win,8
39848,White Win,12
39849,White Win,18
39850,Black Win,6
39851,White Win,6
39852,Black Win,8
39853,White Win,8
39854,Black Win,7
39855,Black Win,6
39856,Black Win,8
39857,Black Win,9
39858,White Win,10
39859,White Win,12
39860,Black Win,0
39861,Black Win,10
39862,Black Win,9
39863,White Win,17
39864,Black Win,4
39865,White Win,14
39866,White Win,6
39867,Black Win,0
39868,White Win,9
39869,White Win,12
39870,White Win,9
39871,Black Win,9
39872,Black Win,7
39873,White Win,8
39874,White Win,20
39875,White Win,10
39876,White Win,7
39877,Black Win,1
39878,White Win,11
39879,Black Win,7
39880,Black Win,11
39881,White Win,7
39882,White Win,12
39883,Black Win,6
39884,Black Win,9
39885,Black Win,10
39886,Black Win,7
39887,Black Win,9
39888,White Win,10
39889,Draw,9
39890,White Win,15
39891,Black Win,0
39892,White Win,11
39893,Black Win,8
39894,Black Win,10
39895,Black Win,1
39896,Black Win,9
39897,Black Win,11
39898,White Win,10
39899,White Win,12
39900,White Win,9
39901,Black Win,8
39902,White Win,10
39903,White Win,8
39904,Black Win,8
39905,White Win,8
39906,Draw,11
39907,Black Win,9
39908,Black Win,8
39909,Black Win,3
39910,Black Win,15
39911,White Win,8
39912,White Win,11
39913,White Win,10
39914,White Win,11
39915,White Win,9
39916,Black Win,9
39917,White Win,4
39918,Black Win,0
39919,White Win,11
39920,Black Win,9
39921,White Win,8
39922,Black Win,7
39923,Black Win,7
39924,White Win,8
39925,Black Win,10
39926,Black Win,10
39927,White Win,13
39928,White Win,6
39929,White Win,19
39930,White Win,10
39931,Black Win,8
39932,White Win,9
39933,Black Win,8
39934,White Win,9
39935,Black Win,1
39936,White Win,8
39937,Black Win,11
39938,Black Win,12
39939,Black Win,11
39940,White Win,12
39941,White Win,14
39942,Black Win,8
39943,Black Win,8
39944,White Win,7
39945,White Win,10
39946,Black Win,6
39947,White Win,11
39948,White Win,8
39949,White Win,10
39950,Black Win,12
39951,Black Win,6
39952,White Win,4
39953,Black Win,6
39954,Black Win,6
39955,Black Win,9
39956,Black Win,9
39957,Black Win,10
39958,Black Win,10
39959,White Win,9
39960,White Win,10
39961,White Win,9
39962,Black Win,8
39963,White Win,14
39964,Black Win,10
39965,Black Win,9
39966,Black Win,6
39967,White Win,9
39968,Black Win,8
39969,Black Win,9
39970,Black Win,9
39971,Black Win,5
39972,White Win,10
39973,White Win,17
39974,Black Win,14
39975,Black Win,11
39976,White Win,14
39977,Black Win,11
39978,White Win,15
39979,White Win,15
39980,Black Win,9
39981,Black Win,10
39982,Black Win,8
39983,Black Win,5
39984,White Win,12
39985,White Win,7
39986,White Win,9
39987,White Win,4
39988,Draw,7
39989,Black Win,7
39990,White Win,11
39991,White Win,9
39992,Black Win,7
39993,White Win,10
39994,Black Win,4
39995,Black Win,8
39996,Black Win,7
39997,White Win,16
39998,White Win,11
39999,White Win,14
40000,White Win,9
40001,Black Win,10
40002,White Win,9
40003,White Win,8
40004,White Win,14
40005,White Win,7
40006,White Win,13
40007,White Win,10
40008,White Win,13
40009,White Win,13
40010,White Win,10
40011,Black Win,11
40012,White Win,12
40013,White Win,10
40014,Black Win,8
40015,White Win,11
40016,White Win,10
40017,Black Win,10
40018,Black Win,11
40019,Black Win,3
40020,White Win,20
40021,Black Win,9
40022,White Win,8
40023,White Win,13
40024,White Win,20
40025,Black Win,11
40026,White Win,13
40027,White Win,18
40028,White Win,9
40029,Draw,5
40030,White Win,11
40031,White Win,13
40032,White Win,12
40033,Black Win,7
40034,White Win,12
40035,Black Win,4
40036,Black Win,11
40037,Black Win,4
40038,Black Win,10
40039,White Win,11
40040,Black Win,10
40041,White Win,10
40042,White Win,13
40043,White Win,9
40044,Black Win,9
40045,Black Win,5
40046,White Win,12
40047,Black Win,6
40048,White Win,8
40049,White Win,10
40050,Black Win,11
40051,Black Win,15
40052,White Win,14
40053,Black Win,7
40054,White Win,11
40055,Black Win,6
40056,White Win,10
40057,Black Win,11
40058,Black Win,6
40059,White Win,11
40060,Black Win,11
40061,Black Win,4
40062,White Win,10
40063,Black Win,10
40064,White Win,13
40065,White Win,11
40066,Black Win,7
40067,Black Win,1
40068,White Win,15
40069,Black Win,6
40070,White Win,12
40071,White Win,11
40072,Black Win,10
40073,Black Win,6
40074,Black Win,13
40075,Black Win,0
40076,White Win,13
40077,White Win,13
40078,White Win,9
40079,White Win,12
40080,White Win,10
40081,White Win,9
40082,Draw,9
40083,Black Win,7
40084,Black Win,2
40085,Black Win,5
40086,White Win,14
40087,Black Win,13
40088,Black Win,7
40089,Black Win,5
40090,White Win,9
40091,Black Win,10
40092,Black Win,8
40093,White Win,8
40094,White Win,11
40095,Black Win,13
40096,Black Win,8
40097,White Win,8
40098,Black Win,6
40099,Black Win,11
40100,White Win,12
40101,White Win,15
40102,Black Win,12
40103,Black Win,8
40104,White Win,13
40105,Black Win,5
40106,White Win,5
40107,Black Win,3
40108,Black Win,6
40109,White Win,15
40110,White Win,16
40111,White Win,10
40112,Black Win,10
40113,White Win,9
40114,Black Win,11
40115,White Win,14
40116,Black Win,10
40117,White Win,12
40118,Draw,9
40119,Black Win,9
40120,White Win,15
40121,Black Win,8
40122,Black Win,12
40123,Black Win,5
40124,Black Win,10
40125,White Win,9
40126,Black Win,6
40127,Black Win,10
40128,Black Win,10
40129,White Win,13
40130,Black Win,2
40131,Black Win,7
40132,Black Win,7
40133,White Win,8
40134,Black Win,10
40135,Draw,8
40136,Black Win,7
40137,White Win,12
40138,Black Win,10
40139,White Win,9
40140,White Win,16
40141,Black Win,8
40142,Black Win,12
40143,White Win,14
40144,Black Win,10
40145,White Win,8
40146,White Win,14
40147,Black Win,6
40148,White Win,8
40149,White Win,14
40150,Black Win,7
40151,Black Win,9
40152,White Win,12
40153,Black Win,10
40154,White Win,3
40155,White Win,8
40156,White Win,10
40157,Black Win,11
40158,Black Win,6
40159,Black Win,4
40160,White Win,20
40161,White Win,13
40162,White Win,10
40163,Black Win,11
40164,Black Win,13
40165,Black Win,9
40166,White Win,11
40167,White Win,20
40168,White Win,7
40169,Black Win,6
40170,White Win,10
40171,White Win,13
40172,White Win,13
40173,White Win,16
40174,White Win,8
40175,Black Win,9
40176,Black Win,9
40177,White Win,7
40178,White Win,17
40179,Black Win,9
40180,White Win,10
40181,Black Win,4
40182,White Win,9
40183,White Win,12
40184,Black Win,2
40185,White Win,11
40186,White Win,19
40187,White Win,6
40188,White Win,12
40189,White Win,9
40190,White Win,9
40191,Black Win,9
40192,Black Win,9
40193,Black Win,9
40194,White Win,8
40195,Black Win,10
40196,White Win,6
40197,White Win,6
40198,White Win,16
40199,White Win,10
40200,White Win,13
40201,Black Win,7
40202,Black Win,9
40203,Black Win,7
40204,Black Win,9
40205,White Win,10
40206,White Win,10
40207,Black Win,14
40208,White Win,8
40209,Black Win,12
40210,White Win,7
40211,White Win,10
40212,Black Win,9
40213,White Win,13
40214,Black Win,3
40215,Black Win,4
40216,Black Win,8
40217,Black Win,16
40218,White Win,10
40219,Black Win,6
40220,White Win,13
40221,Black Win,20
40222,Black Win,11
40223,White Win,7
40224,White Win,12
40225,Black Win,10
40226,White Win,10
40227,Black Win,8
40228,Black Win,7
40229,Black Win,14
40230,White Win,10
40231,White Win,9
40232,White Win,9
40233,Black Win,16
40234,Black Win,6
40235,Black Win,10
40236,Black Win,7
40237,Black Win,6
40238,Black Win,9
40239,Draw,9
40240,White Win,11
40241,White Win,13
40242,White Win,9
40243,White Win,10
40244,White Win,7
40245,White Win,4
40246,Draw,9
40247,White Win,11
40248,White Win,11
40249,White Win,11
40250,Black Win,11
40251,Black Win,9
40252,Black Win,9
40253,Draw,10
40254,Black Win,10
40255,Black Win,5
40256,White Win,16
40257,White Win,12
40258,White Win,10
40259,White Win,13
40260,White Win,7
40261,White Win,7
40262,White Win,11
40263,Black Win,11
40264,White Win,8
40265,White Win,16
40266,White Win,9
40267,Black Win,3
40268,Black Win,11
40269,Black Win,11
40270,Black Win,7
40271,White Win,11
40272,Black Win,8
40273,Black Win,10
40274,White Win,9
40275,White Win,13
40276,Black Win,12
40277,White Win,12
40278,White Win,9
40279,Black Win,7
40280,White Win,9
40281,Black Win,5
40282,Black Win,3
40283,Black Win,10
40284,Black Win,10
40285,White Win,12
40286,White Win,12
40287,Black Win,10
40288,Black Win,13
40289,White Win,10
40290,Draw,9
40291,White Win,18
40292,White Win,13
40293,White Win,12
40294,Black Win,10
40295,Black Win,10
40296,Black Win,8
40297,Black Win,10
40298,White Win,10
40299,White Win,11
40300,White Win,15
40301,Black Win,8
40302,Black Win,9
40303,Black Win,10
40304,White Win,9
40305,Black Win,11
40306,White Win,5
40307,Black Win,3
40308,White Win,9
40309,Black Win,9
40310,Black Win,17
40311,Black Win,9
40312,White Win,20
40313,White Win,16
40314,Draw,9
40315,Black Win,8
40316,White Win,14
40317,Black Win,9
40318,White Win,10
40319,Draw,8
40320,Black Win,5
40321,Black Win,7
40322,Black Win,10
40323,White Win,14
40324,White Win,9
40325,White Win,7
40326,Black Win,8
40327,White Win,5
40328,White Win,9
40329,White Win,10
40330,Black Win,9
40331,White Win,9
40332,Black Win,0
40333,Black Win,9
40334,White Win,9
40335,Black Win,4
40336,White Win,11
40337,White Win,9
40338,Black Win,10
40339,White Win,9
40340,White Win,11
40341,White Win,8
40342,Black Win,8
40343,White Win,9
40344,Black Win,5
40345,White Win,8
40346,Black Win,11
40347,White Win,10
40348,Black Win,9
40349,White Win,12
40350,Black Win,10
40351,White Win,11
40352,Black Win,7
40353,Black Win,7
40354,Black Win,3
40355,Black Win,6
40356,White Win,11
40357,White Win,10
40358,White Win,9
40359,Black Win,6
40360,White Win,8
40361,White Win,0
40362,White Win,9
40363,Draw,10
40364,Black Win,8
40365,White Win,14
40366,Draw,8
40367,White Win,8
40368,Black Win,11
40369,Black Win,10
40370,Black Win,11
40371,Black Win,13
40372,Black Win,10
40373,Black Win,10
40374,White Win,17
40375,White Win,15
40376,White Win,4
40377,Black Win,6
40378,Black Win,12
40379,White Win,16
40380,White Win,9
40381,Black Win,1
40382,Black Win,9
40383,Black Win,9
40384,White Win,8
40385,White Win,9
40386,Black Win,10
40387,Black Win,12
40388,White Win,9
40389,Draw,12
40390,White Win,11
40391,White Win,20
40392,Black Win,1
40393,White Win,11
40394,White Win,12
40395,White Win,11
40396,Black Win,12
40397,Black Win,7
40398,Black Win,7
40399,White Win,7
40400,Black Win,9
40401,Black Win,9
40402,White Win,7
40403,White Win,9
40404,White Win,11
40405,Black Win,9
40406,White Win,6
40407,White Win,9
40408,White Win,14
40409,Black Win,15
40410,Black Win,6
40411,Black Win,7
40412,Black Win,14
40413,Black Win,6
40414,Black Win,4
40415,White Win,14
40416,White Win,9
40417,White Win,7
40418,Black Win,13
40419,Black Win,8
40420,White Win,6
40421,White Win,10
40422,Black Win,4
40423,Black Win,3
40424,Black Win,8
40425,Black Win,8
40426,Draw,3
40427,White Win,13
40428,White Win,7
40429,White Win,7
40430,White Win,8
40431,Black Win,4
40432,White Win,9
40433,White Win,10
40434,White Win,8
40435,White Win,8
40436,Black Win,5
40437,Black Win,4
40438,White Win,10
40439,Black Win,7
40440,White Win,18
40441,Black Win,9
40442,White Win,12
40443,White Win,14
40444,Black Win,8
40445,White Win,11
40446,Black Win,12
40447,Black Win,9
40448,White Win,10
40449,Black Win,7
40450,Black Win,5
40451,White Win,12
40452,Black Win,11
40453,White Win,14
40454,White Win,9
40455,White Win,12
40456,White Win,8
40457,Black Win,8
40458,White Win,10
40459,Black Win,3
40460,Black Win,9
40461,Black Win,11
40462,Black Win,8
40463,Black Win,8
40464,Black Win,11
40465,White Win,13
40466,White Win,15
40467,Black Win,12
40468,White Win,12
40469,White Win,7
40470,Black Win,2
40471,White Win,11
40472,Black Win,10
40473,Black Win,8
40474,Black Win,8
40475,Black Win,10
40476,White Win,11
40477,Black Win,9
40478,Black Win,10
40479,White Win,11
40480,Black Win,8
40481,Draw,8
40482,White Win,12
40483,White Win,12
40484,White Win,11
40485,Black Win,6
40486,Black Win,7
40487,Black Win,8
40488,White Win,10
40489,Black Win,8
40490,White Win,17
40491,Black Win,8
40492,Black Win,3
40493,White Win,14
40494,Draw,10
40495,Black Win,8
40496,White Win,11
40497,Black Win,8
40498,White Win,10
40499,Black Win,9
40500,Black Win,7
40501,White Win,11
40502,White Win,11
40503,Black Win,9
40504,Black Win,11
40505,White Win,16
40506,Black Win,6
40507,White Win,9
40508,Black Win,12
40509,Black Win,13
40510,White Win,10
40511,Black Win,10
40512,White Win,10
40513,White Win,10
40514,Black Win,8
40515,Black Win,8
40516,White Win,9
40517,White Win,10
40518,Black Win,9
40519,Black Win,8
40520,Black Win,4
40521,White Win,11
40522,Black Win,15
40523,Black Win,9
40524,Black Win,10
40525,White Win,11
40526,Black Win,4
40527,Black Win,10
40528,White Win,2
40529,Black Win,3
40530,Black Win,8
40531,White Win,11
40532,White Win,18
40533,White Win,8
40534,Draw,7
40535,White Win,10
40536,White Win,5
40537,Black Win,5
40538,White Win,13
40539,Black Win,9
40540,White Win,10
40541,Black Win,8
40542,White Win,17
40543,Draw,9
40544,White Win,11
40545,Black Win,2
40546,Black Win,8
40547,White Win,10
40548,White Win,7
40549,Black Win,3
40550,White Win,9
40551,White Win,10
40552,Black Win,10
40553,White Win,17
40554,White Win,13
40555,Black Win,6
40556,Black Win,5
40557,White Win,12
40558,White Win,7
40559,Black Win,8
40560,White Win,9
40561,White Win,9
40562,White Win,10
40563,Black Win,2
40564,White Win,6
40565,Black Win,8
40566,Black Win,11
40567,Black Win,8
40568,Black Win,9
40569,Black Win,9
40570,Black Win,5
40571,Black Win,8
40572,White Win,13
40573,White Win,13
40574,White Win,10
40575,White Win,9
40576,White Win,9
40577,White Win,13
40578,Black Win,4
40579,Black Win,7
40580,Black Win,3
40581,White Win,8
40582,White Win,14
40583,Black Win,11
40584,Black Win,7
40585,White Win,18
40586,White Win,12
40587,Black Win,9
40588,White Win,12
40589,White Win,16
40590,Black Win,7
40591,White Win,18
40592,Black Win,7
40593,Black Win,12
40594,White Win,10
40595,White Win,10
40596,Black Win,11
40597,White Win,8
40598,White Win,12
40599,White Win,14
40600,Black Win,7
40601,White Win,11
40602,White Win,15
40603,Black Win,8
40604,Black Win,12
40605,White Win,8
40606,Black Win,4
40607,White Win,11
40608,White Win,14
40609,White Win,15
40610,White Win,10
40611,White Win,11
40612,Black Win,9
40613,White Win,9
40614,Black Win,9
40615,White Win,9
40616,White Win,12
40617,Black Win,0
40618,White Win,12
40619,Black Win,6
40620,White Win,9
40621,White Win,9
40622,White Win,8
40623,Black Win,10
40624,White Win,8
40625,Black Win,6
40626,White Win,11
40627,Black Win,9
40628,White Win,10
40629,Black Win,10
40630,White Win,8
40631,Black Win,6
40632,White Win,12
40633,Black Win,7
40634,White Win,10
40635,Draw,6
40636,White Win,11
40637,White Win,13
40638,White Win,8
40639,White Win,12
40640,Black Win,10
40641,Black Win,9
40642,Black Win,9
40643,White Win,8
40644,Black Win,12
40645,Black Win,9
40646,Black Win,10
40647,Black Win,9
40648,White Win,12
40649,White Win,11
40650,White Win,10
40651,White Win,10
40652,Black Win,6
40653,Black Win,5
40654,White Win,12
40655,Black Win,13
40656,Black Win,12
40657,Black Win,9
40658,White Win,10
40659,Black Win,10
40660,Black Win,4
40661,Black Win,11
40662,Black Win,6
40663,White Win,6
40664,White Win,9
40665,White Win,18
40666,White Win,6
40667,Black Win,6
40668,Black Win,7
40669,White Win,8
40670,Black Win,11
40671,White Win,10
40672,Black Win,11
40673,White Win,10
40674,Black Win,11
40675,White Win,9
40676,White Win,10
40677,White Win,6
40678,Black Win,8
40679,Black Win,10
40680,White Win,6
40681,Black Win,8
40682,Black Win,8
40683,White Win,11
40684,Black Win,11
40685,Draw,11
40686,Black Win,6
40687,White Win,8
40688,White Win,14
40689,White Win,8
40690,Black Win,12
40691,White Win,9
40692,Black Win,12
40693,Black Win,8
40694,Black Win,9
40695,Black Win,11
40696,White Win,9
40697,Draw,10
40698,Black Win,5
40699,White Win,11
40700,Black Win,9
40701,Black Win,6
40702,White Win,13
40703,White Win,6
40704,Black Win,12
40705,White Win,8
