,Result,Category
799,Black Win,16
800,White Win,12
801,White Win,8
802,White Win,12
803,Black Win,4
804,Black Win,5
805,White Win,9
806,White Win,10
807,White Win,17
808,White Win,9
809,White Win,11
810,White Win,8
811,White Win,14
812,Black Win,0
813,Black Win,7
814,White Win,13
815,Black Win,10
816,White Win,8
817,White Win,10
818,White Win,11
819,Black Win,13
820,Black Win,8
821,Black Win,0
822,Draw,12
823,White Win,17
824,Black Win,9
825,White Win,9
826,White Win,14
827,White Win,7
828,Black Win,9
829,White Win,11
830,White Win,12
831,Black Win,10
832,Black Win,9
833,Black Win,8
834,White Win,8
835,Black Win,10
836,Black Win,10
837,Black Win,2
838,White Win,15
839,Black Win,8
840,Black Win,8
841,Draw,13
842,Black Win,6
843,Black Win,2
844,White Win,11
845,White Win,4
846,Black Win,6
847,Draw,7
848,Black Win,4
849,White Win,11
850,White Win,12
851,White Win,4
852,Black Win,7
853,White Win,10
854,White Win,10
855,Black Win,1
856,White Win,17
857,White Win,9
858,Black Win,9
859,Black Win,8
860,Black Win,9
861,White Win,10
862,Black Win,2
863,White Win,15
864,White Win,9
865,Black Win,8
866,Black Win,8
867,White Win,7
868,White Win,9
869,Black Win,7
870,Black Win,6
871,Black Win,9
872,White Win,5
873,Black Win,7
874,White Win,0
875,Black Win,7
876,White Win,9
877,White Win,20
878,White Win,10
879,Black Win,12
880,Black Win,4
881,Black Win,6
882,White Win,12
883,White Win,10
884,White Win,1
885,Black Win,8
886,Black Win,8
887,White Win,15
888,Black Win,4
889,White Win,15
890,White Win,13
891,White Win,9
892,Black Win,6
893,Black Win,8
894,White Win,15
895,Black Win,7
896,White Win,11
897,Black Win,5
898,Black Win,9
899,Black Win,10
900,Black Win,11
901,Black Win,13
902,Draw,7
903,White Win,11
904,Black Win,10
905,White Win,9
906,Black Win,5
907,Black Win,10
908,Black Win,9
909,Black Win,11
910,White Win,12
911,White Win,14
912,White Win,9
913,Black Win,3
914,White Win,7
915,Black Win,8
916,Black Win,9
917,Black Win,5
918,White Win,14
919,Black Win,0
920,Black Win,5
921,Draw,9
922,White Win,11
923,White Win,8
924,Black Win,15
925,Black Win,0
926,Black Win,10
927,White Win,11
928,Black Win,3
929,White Win,11
930,White Win,11
931,White Win,11
932,White Win,9
933,White Win,13
934,White Win,11
935,White Win,16
936,White Win,11
937,White Win,9
938,Black Win,6
939,Black Win,10
940,White Win,18
941,Black Win,1
942,White Win,8
943,Black Win,13
944,White Win,14
945,White Win,15
946,White Win,14
947,White Win,11
948,Black Win,9
949,White Win,13
950,White Win,8
951,White Win,10
952,White Win,8
953,White Win,10
954,Black Win,9
955,Draw,4
956,White Win,17
957,White Win,13
958,White Win,6
959,White Win,14
960,Draw,10
961,White Win,6
962,Black Win,9
963,Black Win,7
964,White Win,20
965,White Win,9
966,Black Win,9
967,White Win,10
968,White Win,8
969,White Win,11
970,Black Win,10
971,White Win,16
972,Black Win,11
973,Black Win,9
974,Black Win,10
975,Black Win,4
976,Black Win,8
